label,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36
1,-1548.7427999563347,-1193.9383562886708,-1840.2053001225067,121.8436665996787,624.3925977360934,-159.8624851594452,582.8314487212706,-121.53359383636531,958.7497098071208,-334.0996592711588,454.75902449999944,-237.29887703041362,104.0887111759074,-555.2255159960043,-238.55196673979327,257.7979531715157,-512.292709654722,189.4700770857657,-341.86896443420056,350.996910271319,-77.35537550210003,434.60613559032885,-0.8731045546318512,194.4071049568426,-501.93287064967893,191.21973469445732,-185.6497090199689,160.73940941894898,39.19801771093688,-77.39059450217752,-406.4078574107911,137.9106459621964,121.57525089852429,-105.83571851015162,-3.1349165073076914,-111.6629330379699
1,-2712.2522876383573,-473.6309582769276,-965.9890523839452,-251.3706103356973,1060.4484752912367,-1008.1652451223229,64.92094158319813,359.05237516060674,1365.1374249480587,345.0605077065718,165.22644671001092,-941.8423347819764,-448.3511826032117,-304.9874773419566,-634.2489719211675,541.1241881266427,-55.1205328009065,414.5256366377452,-86.28208987443588,-163.41729803052294,-53.37508373728773,427.83838347333733,-73.83285602964321,-53.40908173891873,-248.27214262788766,-132.2411069169434,-205.87494713040616,231.38476014049485,737.1901378609736,-110.48073006474807,223.14654602396263,216.05820210823538,-505.15911631237316,30.40325251976168,-283.62289932911733,-274.5932272085604
1,-3640.1472406767966,-859.6918195214503,-70.18220402721354,2042.865153798998,775.8802043410506,-260.02853236080705,234.59311693037495,517.4273268868966,-41.44058937429537,-200.77130148413806,178.27884216467248,-54.68230299620227,410.1177821390227,791.1084394915262,-185.8646868844432,-280.112165824563,-440.1258326574774,-58.38446114694425,1345.1480668300921,77.15706431537832,-8.686673966877532,205.39426203808813,363.6471853356743,-312.2031376622551,24.95447174648858,-110.1409826565918,-187.0126291178585,-283.37407841309897,656.7162538629458,348.08199398123236,59.328056775339974,46.18989599659425,-0.5614773670715536,-23.451151561610075,373.5879247394135,-130.32374941613972
1,-2416.8384004128798,-876.0280962676096,-1142.4114358770894,736.376970063784,1253.0742552958848,-811.8003305114685,599.3872717809792,-112.62370246176269,499.11652060562744,-361.9579782801201,882.1748266517972,659.295768352709,523.5258382816432,-299.02104103699065,-193.06321886849614,398.0842368988065,-641.5836075470852,-494.4788429495908,267.778343990885,315.98100845964564,-455.80230576498656,490.1960892685384,265.3690128912203,229.8549707140286,-196.42058107517482,76.42888136188947,32.994056994731935,-94.81908193810953,-151.92370223166037,-113.72218347914401,-285.2752703683459,-54.100953980376474,-349.82521114768457,463.169462303899,-195.945880241692,-377.26494964830556
1,-2758.0877463654674,-1209.7114751122338,-336.1116824610334,2609.7981531972496,-64.13019969780957,-1198.898282707417,408.48626442254886,823.0178440707783,36.380789139203955,-517.7022917094016,768.9487648014265,512.7143282344866,1382.9592554889782,43.29251793835196,-496.44938694981624,73.32983997236386,-744.0872396671574,258.4723005746036,1061.2520265015837,328.9007291058566,13.102702554507765,201.6318844674522,474.6508198441617,-360.7806116940097,-211.43663707890823,140.65603387313635,-127.75014311423999,-190.08309431566937,-130.25126308178895,362.7764480452755,262.39999537340486,122.5538528169581,-263.8745943237435,400.5411111752253,-186.244474555355,-297.76087746339556
2,-921.7444269855615,629.9702879591343,-1383.9279186366396,608.8502555841526,269.5090345541066,-323.3193796435838,-1148.1435567170772,-167.65658369822137,517.0884008846901,-309.8679638411426,162.09778191970886,-645.1520726039839,-500.9212442118163,51.893445692569514,-955.5862810806487,-450.8851022885661,-101.52608140175545,-533.3145997543952,-73.46456950700424,333.5359574421676,299.2676987187534,0.7672193928978288,309.8431589787853,230.07289533648117,224.88363734494797,370.8587372864188,313.3683711611374,-44.02571265929078,-596.3733118380803,457.62202856915576,-147.59275602364514,271.63935706557385,-35.563877837575106,-459.7032017107748,61.66801939127119,359.66470510853947
2,-1058.44158881039,674.4969165204343,-1345.378151656379,133.04931588603625,257.5384312278475,-422.95786841447716,-962.9844650688113,9.367454965919915,961.7640606480401,-18.34450485115866,140.0851416109861,-449.99036025155453,-710.240655994226,494.9837029355863,-1024.4485715236483,-376.7937177655832,120.41052811888079,-295.8988131620101,-171.46117649358354,483.4938810136078,367.98204919694297,255.24747125689177,389.48912804852637,192.56073730893672,247.87598731001663,159.4319870139965,110.32907530966423,-182.4912481460606,-360.24333471405856,367.9393887918631,11.752457885570179,156.94639791458164,169.6822546412662,-244.0849889699491,-3.9090369790290467,651.5342021249177
2,-937.9534180979408,415.49867699979336,-1478.4067347301636,279.39537193607816,833.5973239837998,-166.22236592797123,-891.628931933452,18.453638066713765,648.8885108803612,5.135233205706946,173.60059967548005,61.57426769518105,-82.25724245283115,82.73098594471502,-978.2264261688002,-137.1310117507934,-317.07948465681255,-378.1872048541235,193.7542491354318,299.8332052573449,495.8036066645232,175.2693429136375,452.54482377278555,185.63672397777236,319.4428403085661,255.40595372647567,484.76300803692686,217.25040686024116,-422.92049857918244,542.7656283171902,-89.14794759280747,458.1664752813315,-339.785599088131,-434.7146468612708,-41.098966038203976,93.62123314213525
2,-1412.3371584824201,885.9033670353665,-689.7427171328778,468.7653127020386,301.99058249196423,-271.88128689023915,-1048.008932552113,-211.12051015966335,1063.7878214800155,332.980786257064,155.81465165096893,-768.5513724206645,-995.7918708171721,369.85524010815436,-928.8346622843491,-331.6544397524334,301.63052317310036,-147.21465205875117,-255.49676593134618,319.3194914627155,311.0523588925023,165.93739491897432,306.24243449991263,76.11952086939803,-22.943171624234655,98.2559343948709,-20.180226478479426,-260.3702777921831,-273.75710027740644,-96.41625769556438,-128.73136835846688,27.695576198193127,447.04521280377236,-192.83415796257026,100.81707526746032,639.6012937586244
2,-835.8899224707292,1253.2524203993962,-1134.0204857405538,-618.7970287143714,870.341142059797,123.77109642023093,-306.78986228561934,902.9570717737207,562.4738635183047,434.7923997687675,183.6731600616967,-262.2505377768189,-729.6235687219137,511.3670419632481,-595.0392112213274,102.1163449079109,5.974516938675961,-173.56312236041882,-143.26858116893214,-391.3551450804759,17.889752917024992,-293.3936214392695,6.146194928282192,309.98099764008896,-235.78035467711243,354.81519554302446,1114.4356422071492,40.15013541776638,385.5971743240055,182.05534425071275,41.10325971863986,360.97041617094817,-79.85695581374088,-156.58236977058445,99.7276125202608,108.6531938115267
3,-95.08503702035812,-394.897333160383,503.3921201002423,-280.62170427074835,-1194.9232764924384,765.1713177142353,57.348671404859914,227.96316997306738,256.3882024367274,754.8834698377958,-138.1182444400593,702.5257779009098,22.09926685369122,-76.06336252593505,-180.18583139276558,-251.56353067092317,-294.0621188989957,-198.34183559246642,-53.438318140708944,-962.3049666035477,-776.8701600484117,-4.882968739652519,380.82665451158874,229.60571126353514,-56.58413538615599,-428.52671041551264,-179.74996325996332,76.92878808620392,-101.85879158893863,-367.7631118571027,-48.40536893462148,305.4683876778638,-167.62413778845374,-156.82708874099444,154.81492401895332,55.51545333682373
3,-274.8726748178711,-562.0756026969506,432.5391621839607,480.03246552614456,-1486.6761389436283,505.6742655244809,213.80109559892713,212.2567992583191,314.72955479985893,281.0924956822854,-725.1540964677956,706.9400254847291,-88.87674795225252,417.5338321478235,-214.35301222632725,-251.98051817364768,-639.4444968913201,-27.55044714927736,-24.883767356634344,-744.2969187574176,-173.271204724075,-95.98511596289006,568.4070785119973,88.22129319004551,14.843405167640974,-221.83993716573536,-318.32321484526994,228.90653038913032,-134.24486050021773,-503.2990457623903,91.07417976496588,461.3008198687898,-393.4060442810533,25.020354217411228,-151.53471601110712,232.24974317911244
3,-1122.8631353989506,556.05756628769,1011.6066812251321,-1340.479336239078,27.09436500075619,252.28905359889427,411.13632467221754,-956.8106998526835,467.5499840993521,-440.2044100313072,-312.6055999384136,915.0937547581905,13.53749867154048,282.1808300464742,-344.6959240865132,-99.59523011608002,-563.4068162674054,99.59710083497933,-496.9061342075854,-371.2482952021693,-201.2809790788156,326.38327035112155,-200.45763287502035,57.10761182883094,105.89170436355347,140.49091456388618,-197.00876875224483,-51.39384702667426,358.93853573303426,-140.7087360032207,-416.76363131238156,172.23879197477208,-86.9613039456583,-369.58791805326274,232.6419647223683,341.6237212008444
